# Suffix Array visualization - Dataset 1
# Total suffixes: 874
# Total words: 100

Index    | Suffix                         | Original Word                  | Length  
------------------------------------------------------------------------------------------
0        | a                              | clintonia                      | 1       
1        | a                              | branchia                       | 1       
2        | a                              | orca                           | 1       
3        | a                              | protozoa                       | 1       
4        | ably                           | blamably                       | 4       
5        | abors                          | overlabors                     | 5       
6        | achingly                       | achingly                       | 8       
7        | acitating                      | capacitating                   | 9       
8        | acket                          | bracket                        | 5       
9        | acking                         | thacking                       | 6       
10       | acks                           | sidetracks                     | 4       
11       | actioned                       | fractioned                     | 8       
12       | aded                           | pleaded                        | 4       
13       | ades                           | glissades                      | 4       
14       | adoration                      | adoration                      | 9       
15       | ae                             | sensillae                      | 2       
16       | affars                         | zaffars                        | 6       
17       | ahs                            | jubbahs                        | 3       
18       | aird                           | yaird                          | 4       
19       | al                             | sinological                    | 2       
20       | al                             | introspectional                | 2       
21       | albumose                       | albumose                       | 8       
22       | alinities                      | salinities                     | 9       
23       | alism                          | pastoralism                    | 5       
24       | alite                          | halite                         | 5       
25       | alities                        | modalities                     | 7       
26       | alizing                        | journalizing                   | 7       
27       | all                            | downfall                       | 3       
28       | alliances                      | misalliances                   | 9       
29       | allowed                        | swallowed                      | 7       
30       | alls                           | knuckleballs                   | 4       
31       | ally                           | feudally                       | 4       
32       | am                             | nam                            | 2       
33       | amably                         | blamably                       | 6       
34       | amazed                         | amazed                         | 6       
35       | amsins                         | kamsins                        | 6       
36       | an                             | sirenian                       | 2       
37       | ance                           | ignorance                      | 4       
38       | ances                          | misalliances                   | 5       
39       | anchia                         | branchia                       | 6       
40       | ands                           | dockhands                      | 4       
41       | angiogenic                     | angiogenic                     | 10      
42       | ankerers                       | hankerers                      | 8       
43       | anthophilous                   | anthophilous                   | 12      
44       | apacitating                    | capacitating                   | 11      
45       | aperients                      | aperients                      | 9       
46       | arder                          | guarder                        | 5       
47       | arily                          | complimentarily                | 5       
48       | ark                            | footmark                       | 3       
49       | arm                            | nonfarm                        | 3       
50       | ars                            | zaffars                        | 3       
51       | ars                            | tuberculars                    | 3       
52       | arsec                          | parsec                         | 5       
53       | arty                           | arty                           | 4       
54       | as                             | dhooras                        | 2       
55       | ashes                          | clashes                        | 5       
56       | assed                          | outclassed                     | 5       
57       | aste                           | waste                          | 4       
58       | astoralism                     | pastoralism                    | 10      
59       | ates                           | irritates                      | 4       
60       | ates                           | numerates                      | 4       
61       | ating                          | capacitating                   | 5       
62       | ation                          | adoration                      | 5       
63       | ativeness                      | derivativeness                 | 9       
64       | atory                          | denigratory                    | 5       
65       | ats                            | autocrats                      | 3       
66       | autocrats                      | autocrats                      | 9       
67       | autopolyploids                 | autopolyploids                 | 14      
68       | azed                           | amazed                         | 4       
69       | azed                           | lazed                          | 4       
70       | bahs                           | jubbahs                        | 4       
71       | balls                          | knuckleballs                   | 5       
72       | bbahs                          | jubbahs                        | 5       
73       | bblers                         | hobblers                       | 6       
74       | berculars                      | tuberculars                    | 9       
75       | bitterest                      | bitterest                      | 9       
76       | blamably                       | blamably                       | 8       
77       | blers                          | hobblers                       | 5       
78       | bloke                          | bloke                          | 5       
79       | bly                            | blamably                       | 3       
80       | bors                           | overlabors                     | 4       
81       | bracket                        | bracket                        | 7       
82       | branchia                       | branchia                       | 8       
83       | bumose                         | albumose                       | 6       
84       | burst                          | cloudburst                     | 5       
85       | buttoned                       | misbuttoned                    | 8       
86       | c                              | parsec                         | 1       
87       | c                              | meteoritic                     | 1       
88       | c                              | orthogenetic                   | 1       
89       | c                              | angiogenic                     | 1       
90       | c                              | unchic                         | 1       
91       | ca                             | orca                           | 2       
92       | cal                            | sinological                    | 3       
93       | capacitating                   | capacitating                   | 12      
94       | ce                             | ignorance                      | 2       
95       | ces                            | misalliances                   | 3       
96       | cesses                         | reprocesses                    | 6       
97       | cheerio                        | cheerio                        | 7       
98       | chia                           | branchia                       | 4       
